#{"t_start": 1753288312.887274, "env_id": "highway-fast-v0"}
r,l,t
4.8,7,61.587561
21.0,25,61.895163
21.6,28,62.230224
13.366667,17,62.431104
6.533333,9,62.541103
13.066667,16,62.741295
3.533333,5,62.802566
2.666667,4,62.851979
13.066667,16,63.046485
6.0,8,63.144948
14.333333,18,124.3918
10.866667,14,124.562808
20.133333,26,124.86608
13.366667,17,125.064859
17.4,21,125.30939
11.333333,14,125.478344
16.8,22,125.735596
16.533333,20,125.973706
7.2,10,126.094122
20.866667,25,126.39363
17.399377,21,188.302734
6.132711,8,188.436847
2.632044,4,188.500308
7.0,9,188.636627
9.565378,12,188.829025
4.399377,6,188.922411
1.765379,3,188.972869
12.2,15,189.187202
2.632044,4,189.242434
18.232044,22,189.574727
4.399377,6,251.973611
6.965378,9,252.093538
8.698711,11,252.240428
12.298711,15,252.441383
1.932711,3,252.483223
13.066044,16,252.689414
5.266667,7,252.77781
7.0,9,252.906289
7.0,9,253.016948
12.199377,15,253.203988
71296,9,6.092126
7.733239,9,6.19851
8.365439,12,6.33639
2.779825,4,6.386013
5.335065,8,6.481277
5.946842,8,6.57405
3.432711,5,6.633686
3.597383,5,6.69509
15.111547,20,6.922855
10.380169,14,7.084427
1.980129,3,7.122282
17.312451,21,7.369989
5.632988,7,7.455383
7.578844,9,7.560918
9.078005,12,7.699309
21.013107,28,8.022685
3.745523,5,8.085459
11.108929,13,8.251229
14.411706,17,8.481313
1.864354,3,8.519619
7.545203,9,8.628753
1.946796,3,8.666435
10.01444,14,8.826373
13.084263,18,9.03276
22.118668,30,9.376205
7.699656,10,9.500307
10.948482,13,9.650959
3.416632,5,9.710855
12.476648,17,9.90862
13.584418,19,10.142358
6.264589,8,10.245596
7.634716,11,10.379114
6.579313,9,10.485892
20.908391,25,10.788487
22.452011,30,11.138766
5.59876,8,11.232589
18.344143,24,11.540091
1.765465,3,11.586963
4.685361,6,11.665788
2.979354,4,11.716783
4.752541,7,11.801049
6.351028,9,11.902119
4.000445,6,11.973671
1.979667,3,12.015585
10.845503,13,12.185642
22.284136,30,12.55959
14.912223,20,12.830088
8.178881,11,12.961449
1.946334,3,13.000477
4.065465,6,13.074939
8.68017,12,13.223135
14.997253,22,13.505233
22.199528,30,13.871521
1.979667,3,13.910234
9.330399,12,14.058602
12.510395,16,14.257612
4.649108,6,14.330238
17.279506,23,14.596398
4.249103,6,14.669715
13.398198,17,14.865243
12.885598,19,15.094383
4.898177,7,15.177546
20.330572,26,15.500162
15.379242,22,15.774021
7.080599,9,15.880526
16.143995,20,16.113503
10.944131,14,16.280424
21.765776,30,16.780715
1.733333,3,16.85858
23.831018,30,17.330371
1.733333,3,17.374406
5.482436,7,17.470313
20.618678,29,17.835284
9.677915,11,17.97886
6.899088,10,18.106775
3.348486,5,18.186324
11.717524,15,18.361913
11.465217,17,18.558971
4.098755,6,18.63201
5.645511,7,18.718766
2.879507,4,18.769035
2.566044,4,18.819347
9.215155,13,18.970094
2.878878,4,19.022959
20.719321,30,19.375675
2.499378,4,19.426473
1.879667,3,19.466517
21.797797,30,19.84102
24.315894,30,20.218131
12.477139,15,20.405651
14.865114,18,20.662021
5.245407,7,20.751258
2.146029,3,20.791211
4.532183,7,20.876472
21.65084,30,21.229831
1.946334,3,21.272932
5.319154,7,21.36431
9.979825,13,21.519517
6.945163,9,21.627018
15.333074,22,21.881559
11.611335,15,22.056834
8.851068,13,22.210542
6.032133,9,22.315696
17.779372,23,22.587578
2.714487,4,22.639129
20.380043,29,22.978135
12.650607,18,23.187467
9.164224,13,23.339878
5.579779,7,23.423957
10.732481,16,23.606857
6.233034,9,23.710896
4.897338,6,23.784571
22.683719,30,24.128443
21.216788,30,24.47574
14.979517,20,24.707927
9.20266,14,24.875448
3.719871,6,24.948072
11.846446,14,25.114748
1.880129,3,25.151965
2.499378,4,25.203919
13.882267,20,25.436664
15.352017,19,25.674601
5.712077,8,25.784313
5.066621,7,25.877131
7.298177,10,26.009522
1.632711,3,26.051829
4.346174,6,26.133093
21.117731,26,26.448835
14.41395,19,26.688805
2.432044,4,26.741613
4.897552,7,26.826269
21.983201,30,27.171835
10.286259,14,27.336001
6.845351,8,27.432222
11.819862,17,27.633262
6.853508,9,27.745919
1.882442,3,27.786097
4.899187,6,27.858387
18.531521,26,28.166869
10.701769,15,28.344842
19.666667,25,28.669385
4.931468,7,28.752917
4.913118,6,28.825137
21.332445,30,29.176022
13.879157,15,29.361817
5.982448,8,29.459862
6.912261,9,29.578837
17.178198,21,29.832893
9.419665,12,29.985889
6.646446,8,30.091419
3.579203,5,30.158625
