#{"t_start": 1753289101.764769, "env_id": "highway-fast-v0"}
r,l,t
9.946445,11,61.082299
5.919779,7,61.166906
3.15311,4,61.216293
1.946796,3,61.255583
5.813112,7,61.339842
5.046446,6,61.413652
4.646446,6,61.485655
2.153097,3,61.524478
3.713118,5,61.585434
12.379779,14,61.750049
1.953097,3,122.536725
12.379779,14,122.704516
7.046446,8,122.801363
15.046445,16,122.993517
7.553112,9,123.100732
11.046445,12,123.243797
6.513112,8,123.340287
13.546445,15,123.517441
5.313112,6,123.590001
5.046446,6,123.661522
5.046446,6,184.737406
7.91264,9,184.844838
7.046446,8,184.943494
8.153112,9,185.050073
13.046445,14,185.21547
3.819779,5,185.276833
3.713118,5,185.338724
2.979354,4,185.388699
4.646446,6,185.462428
6.313112,7,185.546749
9.313112,11,246.668371
11.945974,13,246.82389
3.713118,5,246.885736
3.879785,5,246.947068
5.046446,6,247.021181
9.313112,11,247.15506
3.819779,5,247.217996
1.946796,3,247.257697
5.046446,6,247.331101
3.819779,5,247.393902
8.085975,9,308.438698
15.312005,17,308.640094
4.096866,5,308.701076
2.013001,3,308.740217
7.553112,9,308.84975
4.245975,5,308.910339
6.979308,8,309.006118
17.716126,20,309.242534
24.632329,27,309.554622
11.93067,13,309.710497
1.846796,3,370.704645
24.046445,25,370.997695
12.846445,14,371.160394
9.112169,10,371.280103
7.046446,8,371.377575
4.153112,5,371.438332
5.878822,7,371.525728
8.379779,10,371.643424
4.046452,5,371.70385
3.713118,5,371.76378
10.179157,11,432.6996
10.745157,12,432.841358
10.019682,11,432.974141
3.532711,5,433.03497
5.153112,6,433.108252
8.179157,9,433.215598
6.249452,8,433.313663
5.232044,7,433.399497
12.000045,14,433.56766
8.745157,10,433.68757
7.046446,8,494.427637
6.866431,8,494.523442
6.197337,7,494.608376
4.912496,6,494.680099
2.046796,3,494.71984
17.950541,19,494.94277
7.011824,8,495.039331
7.91249,9,495.148032
6.019157,7,495.232707
5.920169,8,495.330153
17.979779,21,556.095714
4.912496,6,556.168416
6.179307,7,556.253378
15.679698,18,556.464643
8.796865,10,556.5832
17.197734,22,556.841029
7.346446,9,556.948435
7.766227,9,557.05578
10.553096,13,557.209505
7.799489,9,557.31913
19.382165,23,617.806874
5.879307,7,617.892805
1.197688,2,617.920241
24.119264,30,618.270374
23.235984,30,618.63322
1.279667,2,618.6602
26.583616,30,619.006797
13.535599,15,619.181701
5.119317,6,619.254493
24.820221,30,619.600318
8,3,14.386378
2.763732,4,14.435009
1.846796,3,14.473823
5.984993,7,14.557366
6.234429,8,14.65576
2.682442,4,14.704593
16.379779,18,14.916417
5.849452,8,15.011958
1.153,2,15.038631
3.597343,5,15.099904
14.998706,17,15.29779
8.249453,12,15.435668
7.245119,9,15.540868
4.312693,6,15.613836
21.898455,30,15.955508
3.313503,5,16.016154
4.982679,7,16.10061
10.035944,13,16.253904
7.763382,9,16.360133
5.046446,6,16.433389
1.846796,3,16.470829
1.849108,3,16.509144
1.953097,3,16.549327
2.913463,4,16.606895
9.079786,11,16.736725
4.365688,6,16.810084
5.685237,7,16.895614
3.082786,5,16.95684
19.545466,24,17.234767
1.051567,2,17.259659
5.180129,7,17.343475
1.015775,2,17.370362
3.582097,5,17.433014
1.699378,3,17.471246
6.38147,8,17.568187
1.764354,3,17.60505
16.031016,20,17.844087
11.750651,15,18.0186
12.848531,16,18.208357
11.982358,16,18.398061
1.765379,3,18.43614
11.711246,14,18.606109
1.051567,2,18.639244
16.167138,21,18.892342
11.300101,14,19.058751
11.145684,13,19.21347
1.846796,3,19.252009
12.910509,16,19.444218
13.911685,16,19.632104
7.879307,9,19.73898
5.046491,6,19.812874
2.368355,4,19.861548
10.545974,12,20.004098
5.913113,7,20.09
10.266621,13,20.247066
5.613158,7,20.3313
5.879307,7,20.417847
2.784278,4,20.466563
6.13106,8,20.562619
5.911796,8,20.671044
5.780124,7,20.75863
2.046796,3,20.796952
5.852641,7,20.883863
1.946796,3,20.922504
7.980173,11,21.051146
4.812651,6,21.123504
14.978646,18,21.337612
5.47978,7,21.421139
11.614952,13,21.574889
1.313463,2,21.602256
10.753015,12,21.745558
3.681635,5,21.806746
1.880129,3,21.845234
4.953112,6,21.918796
8.918614,12,22.060419
6.513112,8,22.157363
11.817754,13,22.312129
2.213158,3,22.34957
24.110304,27,22.660198
1.913463,3,22.697928
1.950945,3,22.735948
3.183022,5,22.798235
11.153099,13,22.95511
9.049454,12,23.097497
2.046796,3,23.13585
5.145403,7,23.21937
4.745974,6,23.291709
5.046446,6,23.365184
10.111438,12,23.505976
11.878851,13,23.661346
3.347819,5,23.721106
13.318246,16,23.910889
3.348561,5,23.971979
3.74495,5,24.031738
8.06642,10,24.152246
2.046796,3,24.190652
2.418304,4,24.241408
7.085526,9,24.349236
1.980129,3,24.388454
10.782091,12,24.530833
3.45107,5,24.591392
6.566673,9,24.698927
6.085973,7,24.784712
5.87885,7,24.869643
1.879667,3,24.908129
5.446802,8,25.004144
17.1134,19,25.228015
6.248169,8,25.322939
5.247475,7,25.406264
6.012689,7,25.490817
9.385237,11,25.621701
4.012641,5,25.68196
8.845044,10,25.80324
3.512841,5,25.864656
