#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
9.0,9,160.856335
9.0,9,161.104092
9.0,9,161.287248
2.0,8,161.500156
9.0,9,161.809957
0.0,6,162.058887
8.0,8,162.314721
10.0,10,162.631858
8.0,8,162.894796
9.0,9,163.1389
-1.0,5,322.403699
-1.0,5,322.539427
-1.0,5,322.664646
10.0,10,322.979983
-5.0,1,323.037427
-1.0,5,323.238497
9.0,9,323.466303
8.0,8,323.609341
0.0,6,323.791569
10.0,10,324.22757
8.0,8,481.06071
9.0,9,481.383196
9.0,9,481.709495
8.0,8,481.94491
0.0,6,482.168524
9.0,9,482.418988
9.0,9,482.776221
9.0,9,483.184361
-1.0,5,483.355259
10.0,10,483.596078
-1.299552,4,641.659268
9.0,9,641.920903
9.0,9,642.245296
9.0,9,642.353268
10.0,10,642.693929
0.0,6,642.860497
9.0,9,643.130149
0.0,6,643.314434
9.0,9,643.589584
-1.299552,4,643.698732
9.0,9,802.866488
0.700013,6,802.984332
10.0,10,803.377241
0.0,6,803.594468
-2.0,4,803.739765
9.0,9,804.015209
0.420014,6,804.13304
-2.0,4,804.29976
0.420014,6,804.4837
-2.577249,3,804.55623
9.0,9,959.853159
0.0,6,960.054559
-1.0,5,960.277196
-2.0,4,960.400567
9.0,9,960.598225
9.0,9,960.860571
-1.0,5,960.978526
9.0,9,961.298317
9.0,9,961.522945
0.0,6,961.739273
0.0,6,1119.052495
0.0,5,1119.224778
9.0,9,1119.493191
-2.0,4,1119.632463
0.0,6,1119.84462
0.0,6,1120.059113
10.0,10,1120.367092
-2.0,4,1120.526968
10.0,10,1120.752818
9.0,9,1121.020073
8.0,8,1278.214782
0.0,6,1278.408446
-2.0,4,1278.569637
-1.299552,4,1278.752362
8.0,8,1278.994489
9.0,9,1279.153285
0.0,6,1279.280738
-1.0,5,1279.480514
-1.0,5,1279.613744
1.0,6,1279.747378
-1.84084,4,1437.22623
0.0,6,1437.347003
-1.0,5,1437.560051
-0.841249,5,1437.747869
3.0,9,1438.058837
-1.0,5,1438.235167
4.0,5,1438.373256
0.0,5,1438.647166
-3.0,3,1438.774056
2.0,8,1439.049247
0.700013,6,1597.740391
0.0,6,1598.029763
0.0,6,1598.26098
1.158669,7,1598.486936
9.0,9,1598.725716
10.0,10,1599.029027
10.0,10,1599.206449
9.0,9,1599.555429
10.0,10,1599.727458
9.0,9,1599.97614
8.657741
0.0,5,28.755645
5.177102,13,29.097689
6.248995,12,29.401378
-1.379585,6,29.616438
-2.444964,6,29.803258
7.538649,11,30.038437
-1.372771,6,30.264469
-4.0,7,30.521475
2.555036,13,30.944183
6.208296,12,31.473123
6.252052,9,31.806728
6.104091,13,32.241666
0.0,6,32.383982
-0.963021,6,32.653429
-1.0,6,32.783005
-4.304191,10,33.223403
5.923987,12,33.561796
3.166,13,33.997704
-3.0,11,34.344528
-0.382068,7,34.557661
2.616133,13,35.12242
-2.447873,7,35.396787
0.0,6,35.528774
0.0,6,35.799517
-2.437045,7,36.00597
8.633113,10,36.244834
-1.0,6,36.444973
4.140868,13,36.80076
-2.0,6,37.015481
4.618836,13,37.382081
5.457546,13,37.659473
-1.379585,6,37.777471
7.626732,11,38.087113
-2.0,8,38.41507
-2.676484,6,38.554189
0.0,6,38.744751
-1.0,5,38.987263
0.0,6,39.139761
-3.382507,6,39.296174
-1.436972,7,39.404365
9.0,9,39.691103
-3.395444,9,40.009518
-1.372771,5,40.205037
4.149918,13,40.684224
6.93972,11,41.108311
6.471346,12,41.509197
-1.524421,8,41.798686
-2.0,7,42.022828
-1.0,5,42.201491
7.681208,10,42.501158
6.562945,9,42.782885
2.0,13,43.146538
5.206897,13,43.652599
8.615645,11,43.895641
-1.513606,9,44.344064
-1.0,7,44.640761
6.297112,13,45.004568
8.617423,10,45.211695
6.884281,11,45.681456
-3.316297,5,45.90004
10.0,10,46.248629
6.600472,12,46.699745
7.092552,12,47.062585
2.174618,13,47.651922
-2.51166,7,47.850202
-3.511246,9,48.187514
-1.366575,6,48.423607
6.626732,13,49.002935
8.617423,10,49.291747
2.112999,13,49.730957
-2.365057,5,49.944859
-1.0,5,50.145162
7.471021,12,50.382293
1.552541,13,50.750142
6.473388,10,51.126397
5.232006,10,51.43506
8.472889,12,51.772634
-1.318719,6,51.942031
9.0,9,52.218384
-1.931388,5,52.382683
-2.0,6,52.625078
-1.0,5,52.783247
8.616025,10,53.082674
-0.675908,6,53.231194
4.0,13,53.575725
0.053117,7,53.801144
5.616562,11,54.088097
3.633425,13,54.440538
-3.0,5,54.580983
7.550321,10,54.924768
7.616072,9,55.123072
-1.0,4,55.251379
-1.372771,6,55.442779
-0.382068,7,55.661095
6.617508,9,55.958525
6.87055,12,56.247793
-0.382068,7,56.397648
8.101267,13,56.817912
-2.538364,11,57.244902
-2.318366,6,57.516386
7.681208,9,57.857706
-0.841249,5,58.04964
8.488254,12,58.439633
4.9167,12,58.820264
7.459742,12,59.08867
-1.379585,6,59.257275
-1.0,5,59.39387
-1.684108,7,59.652016
7.552807,10,59.899217
-1.318719,7,60.159588
10.0,10,60.445736
-3.438636,7,60.620463
3.460262,13,60.949711
6.231387,11,61.270475
-2.373197,6,61.486204
-1.0,8,61.731887
-1.0,5,61.863268
-5.0,1,61.91146
-3.631866,5,62.084053
-1.0,6,62.384875
9.0,9,62.663619
9.0,9,62.897453
6.188159,12,63.355102
-1.379585,6,63.513528
6.233004,11,63.759805
7.626732,9,64.055761
-1.0,6,64.182797
-1.366575,6,64.403178
-2.0,4,64.484653
-4.210284,1,64.543508
-5.0,1,64.606029
6.552816,10,64.913699
9.0,9,65.246237
1.420002,7,65.438504
-1.0,6,65.605008
-2.318366,5,65.732551
9.0,9,65.887426
-5.0,1,65.948015
3.853899,13,66.475786
0.0,6,66.64254
2.629652,13,67.310943
7.099753,13,67.769395
8.681208,10,68.019451
6.179598,11,68.40452
-2.702524,7,68.697554
7.196107,11,68.988898
-3.382507,6,69.224371
7.615917,9,69.542168
7.47097,12,69.865046
6.536725,13,70.176789
9.0,9,70.480184
-2.447873,7,70.796331
4.915754,12,71.033097
6.522793,13,71.424433
-1.366575,6,71.534703
-0.381164,7,71.744562
-0.841249,5,71.899825
-2.0,6,72.11706
0.0,5,72.229344
6.185466,11,72.804663
5.905259,12,73.078538
-0.373185,7,73.357775
7.486392,12,73.690324
-1.299552,4,73.790756
9.633112,11,74.046425
2.634943,5,74.16578
0.0,6,74.375649
9.0,9,74.69108
0.0,6,74.911542
8.615844,10,75.225711
-1.0,5,75.363019
0.0,7,75.576781
-3.356173,4,75.71971
-1.372771,6,75.898957
-1.372771,6,76.12991
9.0,9,76.369157
7.29705,10,76.591419
-0.449307,7,76.738481
8.681208,10,76.96893
9.0,9,77.143545
-1.446814,7,77.359809
0.0,6,77.596848
-2.370348,6,77.803872
9.0,9,78.192529
9.0,10,78.642687
-1.447446,7,78.800209
-1.0,6,78.956443
-0.838242,9,79.25668
