#{"t_start": 1753299347.2843719, "env_id": "intersection-v0"}
r,l,t
1.617493,13,0.303408
8.633113,10,0.51493
-1.0,5,0.652493
6.300654,9,0.837174
1.283576,13,1.251978
-2.0,5,1.388567
8.615844,10,1.555526
3.525092,13,1.816327
-0.373185,7,1.890905
0.559153,13,2.217341
-3.0,8,2.396256
7.243785,11,2.674232
1.0,13,3.016337
2.626803,13,3.427396
7.29705,10,3.654137
1.472861,13,3.959603
7.29705,10,4.364844
5.869337,11,4.665937
9.0,9,4.869308
-2.288439,6,5.037295
4.977049,13,5.242524
-2.290496,6,5.40429
1.0,7,5.552457
-1.0,11,5.819842
-2.437045,7,5.976118
7.459795,12,6.311115
-0.381164,7,6.514844
-1.0,5,6.671977
3.536703,13,6.89898
4.0,13,7.200982
2.274322,13,7.485189
5.457808,13,7.757002
3.459861,13,7.979811
6.549861,13,8.274513
4.806875,13,8.627451
7.222012,12,8.918853
0.604273,13,9.303526
-5.0,1,9.345933
5.52517,13,9.583298
0.0,13,9.941225
7.616072,11,10.08433
-3.511246,9,10.334756
0.613637,13,10.713944
3.234716,13,10.962626
0.0,6,11.104151
5.23151,13,11.578464
1.233873,13,12.002398
5.457548,13,12.275768
-1.0,6,12.340921
-1.701706,7,12.497508
3.140539,13,12.819611
-2.0,5,12.903414
-2.88756,10,13.247677
-3.0,5,13.374697
-2.529102,12,13.655799
0.696426,12,14.04924
-1.318719,5,14.194012
2.154828,13,14.606828
7.299766,10,14.868573
6.550375,10,15.184719
2.615174,13,15.485595
3.103803,13,15.876215
0.0,13,16.14909
6.229865,10,16.412101
7.462083,13,16.677747
-3.436985,6,16.799124
-1.437055,8,16.96066
2.629652,13,17.234403
-3.82443,2,17.28994
-1.0,5,17.403787
-1.0,5,17.505563
0.629225,13,17.982643
-4.370775,8,18.191301
8.107871,13,18.373734
-2.0,4,18.471504
-1.372771,6,18.643854
-1.318719,6,18.747502
6.097412,13,19.056136
-2.373197,7,19.24471
0.559116,13,19.624517
3.681281,13,19.966372
-2.318366,5,20.055007
-1.691921,6,20.165753
7.472952,11,20.474415
-0.31878,7,20.690406
-2.365057,5,20.828571
0.550077,13,21.149001
4.633166,13,21.439806
6.094327,13,21.781879
7.552807,10,21.964654
3.035686,13,22.191889
-1.395343,10,22.430891
-1.0,5,22.517291
6.527462,12,22.983277
-3.356173,9,23.200148
-2.395661,10,23.389644
-4.0,8,23.588759
-1.0,5,23.688651
6.306432,12,23.876822
-2.318366,5,24.052565
6.562942,11,24.232602
0.0,7,24.3989
4.912933,10,24.687139
-3.513523,10,24.90087
-1.379585,6,25.090525
6.086502,13,25.388927
0.0,5,25.528707
8.552042,11,25.66998
-2.365057,6,25.822426
7.616072,12,26.080832
-0.31878,6,26.267731
0.0,7,26.41392
-2.529033,10,26.690354
-0.666847,6,26.806056
0.420014,6,26.951814
6.089816,13,27.170886
-3.511246,7,27.362365
0.0,13,27.728113
3.09156,13,27.93231
-1.0,6,28.027962
-2.447956,8,28.187789
-0.373268,8,28.368458
5.62673,13,28.791046
-0.681243,6,28.907114
4.459463,13,29.404754
-1.0,6,29.601883
-3.38103,7,29.833742
8.488254,12,30.035317
-0.526602,9,30.249261
2.121073,13,30.689468
-1.373258,7,30.866516
-1.372771,6,30.939526
0.550125,13,31.239984
4.242373,13,31.481211
7.617435,10,31.6875
7.617435,10,31.854034
0.629225,13,32.064546
7.626732,9,32.22774
-1.0,5,32.316992
7.222012,12,32.600878
-3.745084,13,33.042381
-4.386021,10,33.289173
4.875238,13,33.537144
8.0,8,33.716265
6.0,13,34.04156
3.154656,13,34.429445
7.475491,12,34.663775
2.613863,13,35.027955
-2.370348,5,35.137568
8.615645,10,35.366295
9.0,9,35.549338
7.101541,12,35.79525
