#{"t_start": 1753301393.756704, "env_id": "highway-fast-v0"}
r,l,t
13.018707,16,0.232801
23.063042,30,0.630482
1.849108,3,0.669668
16.68475,24,0.950211
8.052388,11,1.081219
7.297026,10,1.201795
2.485597,4,1.252331
9.996713,14,1.417732
1.766667,3,1.456186
9.066085,13,1.609356
17.231559,23,1.878145
13.279317,17,2.077705
2.046796,3,2.115922
16.649902,21,2.370078
3.648301,5,2.430895
14.043992,16,2.622704
3.013158,4,2.672295
2.251695,4,2.722234
2.246029,3,2.760174
8.516488,12,2.903921
8.579994,12,3.044621
9.362926,12,3.188922
20.282448,26,3.498338
4.366044,6,3.570381
3.235022,5,3.631498
1.766045,3,3.669951
14.530623,20,3.903168
2.013001,3,3.941971
4.430399,6,4.015538
3.09907,5,4.075281
2.533333,4,4.126224
8.629204,11,4.257047
22.496886,30,4.610311
7.499649,9,4.719188
13.380052,17,4.92024
10.229726,12,5.065002
8.59876,12,5.208072
12.21569,16,5.392626
13.677537,18,5.601874
19.196912,26,5.904662
4.233638,6,5.976996
21.517698,30,6.329741
16.411058,22,6.588519
6.133643,9,6.694693
7.745828,10,6.814505
3.630677,5,6.874888
10.830547,14,7.041248
23.408602,29,7.38415
2.946021,4,7.434303
8.647196,11,7.566673
6.632825,8,7.663462
5.446446,7,7.74903
3.581819,5,7.808964
15.00103,21,8.051929
3.882487,6,8.123271
7.364899,10,8.242844
4.065465,6,8.315736
4.379369,6,8.38888
12.651042,15,8.56444
3.919871,6,8.63835
11.864539,16,8.827126
1.882442,3,8.865099
1.879667,3,8.903022
5.851542,8,8.996957
6.778423,9,9.104201
3.482402,5,9.165095
4.782132,6,9.239437
8.446632,11,9.369985
8.118588,10,9.489649
17.018624,22,9.753234
16.310771,21,10.00333
7.496381,9,10.111618
4.85258,7,10.195917
8.350161,11,10.32532
7.299377,10,10.442985
22.88413,30,10.790443
13.843997,18,11.00291
8.016936,11,11.134389
13.146705,17,11.33389
14.61421,20,11.569126
18.780044,26,11.874515
1.882442,3,11.912458
9.879625,13,12.067634
7.033596,10,12.18693
12.966713,19,12.408258
5.846842,8,12.503081
22.409575,30,12.856286
1.765378,3,12.894143
6.16615,8,12.991794
6.318003,9,13.098803
11.045758,15,13.274172
2.933678,5,13.335942
7.179317,9,13.444719
4.579045,6,13.516703
8.949746,11,13.648303
7.27824,9,13.755903
3.349453,5,13.817041
1.946334,3,13.855662
19.527328,27,14.167852
1.915153,3,14.206705
8.266003,10,14.324407
9.715112,12,14.466946
1.879667,3,14.504722
6.450898,9,14.611828
7.568704,11,14.742135
4.512065,6,14.815958
2.086537,4,14.865573
13.833504,18,15.0877
11.250573,13,15.24229
19.316384,25,15.538899
16.849648,24,15.820694
12.71264,14,15.983434
9.563045,11,16.112095
22.849361,30,16.463259
17.518069,22,16.722021
20.986537,30,17.066114
13.978421,17,17.267833
8.644824,12,17.409783
9.199735,13,17.56235
6.178422,8,17.65961
13.513112,15,17.837978
1.984982,3,17.875315
1.9849,3,17.913639
15.313061,21,18.1606
8.364002,12,18.302909
10.099735,15,18.476907
5.112085,7,18.558453
