#{"t_start": 1753292095.503113, "env_id": "intersection-v0"}
r,l,t
10.0,10,165.686186
1.0,7,165.852671
9.0,9,166.222918
-1.0,5,166.42817
8.0,8,166.586883
10.0,10,166.983899
9.0,9,167.252246
-1.0,5,167.405216
-1.0,5,167.545497
-1.57953,4,167.656711
10.0,10,334.474778
10.0,10,334.673803
0.0,5,334.887411
-1.0,5,335.026848
10.0,10,335.347909
0.0,5,335.44893
-1.0,5,335.630575
10.0,10,335.881499
-1.0,5,336.001344
9.0,9,336.246237
-2.0,3,495.942063
1.0,7,496.187328
9.0,9,496.484055
9.0,9,496.763321
9.0,9,497.019644
9.0,9,497.306184
0.0,5,497.486542
9.0,9,497.70103
0.0,6,497.932664
9.0,9,498.127744
9.0,9,657.593583
0.0,6,657.770011
0.0,6,657.96814
8.0,8,658.259754
-1.299552,4,658.461072
-1.0,5,658.600686
9.0,9,658.845298
0.0,6,659.089482
10.0,10,659.271799
10.0,10,659.644885
9.0,9,817.012692
8.0,8,817.299449
9.0,9,817.540079
10.0,10,817.804867
9.0,9,817.95541
9.0,9,818.200296
0.0,6,818.36966
10.0,10,818.711239
0.0,6,818.928779
-2.0,4,819.074257
0.0,6,975.159948
9.0,9,975.572099
9.0,9,975.801074
0.0,6,976.055254
10.0,10,976.331605
9.0,9,976.632101
0.700013,6,976.840262
11.0,11,977.21437
10.0,10,977.47516
9.0,9,977.664992
10.0,10,1134.272677
-2.0,4,1134.461308
-1.0,5,1134.644798
-1.0,5,1134.796103
0.0,6,1134.991382
0.0,6,1135.245974
-1.0,5,1135.396673
9.0,9,1135.601616
0.0,6,1135.74857
0.0,6,1135.950919
9.0,9,1291.418057
2.0,8,1291.649087
9.0,9,1291.777136
0.0,6,1291.962887
10.0,10,1292.357722
0.0,6,1292.587707
9.0,9,1292.860646
-0.57992,5,1293.046105
-0.57992,5,1293.285365
-1.0,5,1293.465465
-1.0,5,1448.592995
9.0,9,1448.900379
0.0,5,1449.057339
0.0,6,1449.258547
10.0,10,1449.648711
10.0,10,1449.930629
-2.29738,3,1450.04227
-1.0,5,1450.159566
10.0,10,1450.537015
11.0,11,1450.981529
-5.0,1,1604.547922
0.0,6,1604.745318
9.0,9,1605.020784
9.0,9,1605.356962
10.0,10,1605.648159
9.0,9,1605.879926
-1.0,5,1606.026806
1.0,7,1606.248299
8.0,8,1606.596784
0.0,6,1606.764929
,29.240873
-4.0,8,29.563457
-2.382567,6,29.751731
1.643827,13,30.125846
-1.57953,4,30.239663
-1.447446,7,30.469881
0.629225,13,30.914185
-1.0,10,31.316762
0.0,7,31.641797
-3.107643,7,31.868369
3.606248,13,32.343697
1.550115,13,32.820965
0.549807,13,33.350631
-2.0,8,33.524053
7.244344,10,33.961544
-1.684108,7,34.105035
3.0,13,34.596921
-3.452131,12,34.900169
5.0,13,35.210458
2.549795,13,35.602507
6.121678,11,35.862145
2.472861,13,36.216364
-1.0,8,36.404744
0.0,13,36.727611
0.695809,13,37.301223
6.61852,13,37.70681
3.116699,13,38.23042
8.0,10,38.577393
3.0,13,39.073209
-0.373185,7,39.244255
-5.0,1,39.292757
3.353545,13,39.531322
-2.370348,9,39.81315
-5.0,1,39.898224
-2.0,5,40.046043
9.0,9,40.379147
6.534472,13,40.836282
-2.373197,6,40.983779
1.0,7,41.262655
8.615844,10,41.663258
1.0,13,42.03875
-4.103636,10,42.423429
-5.0,1,42.500474
-4.0,2,42.566113
8.615844,10,42.789888
0.0,6,42.939003
-2.395716,11,43.449132
-1.372771,6,43.667319
-3.449736,7,43.984421
-1.446814,7,44.158758
2.111223,13,44.46216
7.615917,10,44.78676
3.459779,13,45.232644
0.0,6,45.382957
4.014526,13,45.695517
1.47294,13,46.066785
7.23142,11,46.393106
6.468316,13,46.967024
4.0,13,47.402892
-4.0,8,47.665024
-4.0,2,47.750432
1.604329,13,48.24106
4.206188,13,48.754177
-3.0,11,49.095255
2.549803,13,49.651294
1.0,13,50.001734
0.0,6,50.183792
5.097037,13,50.537602
2.0,13,51.116888
0.0,13,51.808421
0.0,13,52.366038
5.68121,13,52.758913
-1.0,4,52.9039
4.853076,12,53.412782
-0.381164,7,53.637204
0.0,13,54.103541
3.473181,13,54.540361
-2.0,7,54.819898
7.168556,12,55.319463
0.0,13,55.903896
-2.527062,10,56.28677
3.776645,13,56.72639
-1.0,5,56.87369
-1.372771,6,57.120133
0.0,13,57.679887
-3.818787,9,58.094794
1.643827,13,58.320758
-0.382068,10,58.599502
1.549809,13,59.132109
6.538722,10,59.331714
-0.373185,7,59.48753
2.315765,9,59.769003
1.683703,13,60.10063
-1.447446,7,60.24367
-3.450147,12,60.644015
2.0,13,61.123027
7.178487,11,61.479441
4.626732,13,61.888357
-1.0,5,62.045215
-1.84084,4,62.196365
3.525418,13,62.565171
5.0,13,63.135083
4.457478,13,63.543017
-5.0,1,63.588592
-2.758897,6,63.730078
-2.444964,8,64.087977
7.615917,9,64.371157
0.695809,13,64.721626
-1.0,6,64.943053
-1.437055,8,65.119683
1.0,7,65.347202
6.604657,13,65.758566
-3.372844,6,65.925085
3.529432,13,66.401018
0.0,13,66.818972
3.459723,13,67.056106
5.025171,11,67.47614
-3.527072,10,67.974356
-2.370348,5,68.15287
-1.740161,6,68.339106
1.0,13,68.878093
2.0,13,69.701037
-1.373258,7,69.861965
-1.318719,6,70.112857
6.231343,11,70.501067
-4.0,1,70.563786
0.0,13,71.073916
-3.316297,7,71.286752
8.549876,11,71.716212
6.306432,10,72.05409
-4.0,3,72.156007
-2.444964,6,72.370186
0.0,6,72.572078
6.101371,13,73.014189
4.536662,13,73.354845
-2.436558,6,73.512639
0.0,6,73.648294
-1.0,8,73.840781
3.536658,13,74.198552
-2.090257,9,74.50218
-2.0,6,74.697668
8.353106,11,74.939245
-2.0,7,75.182621
-1.372771,6,75.344379
2.47287,13,75.685772
-1.0,7,75.896187
-2.539811,9,76.115602
7.525509,12,76.524714
1.0,13,77.023812
1.0,7,77.211403
3.483761,13,77.612161
-3.434136,13,78.190083
-0.366834,7,78.415726
-1.459043,8,78.640705
7.616072,10,78.873377
6.536725,13,79.299039
-2.0,3,79.417697
6.550375,9,79.658925
-3.0,12,80.052236
-1.372771,6,80.263168
-2.474433,9,80.536436
-1.299552,4,80.64366
7.298444,10,80.957787
-0.740232,7,81.157488
-2.644326,6,81.259259
5.549853,13,81.686518
-1.697431,7,81.915534
-0.366834,7,82.183356
2.0,13,82.734063
7.527788,12,83.085641
7.459795,12,83.461386
0.0,6,83.584981
-5.0,1,83.633394
-1.446814,7,83.823162
-1.0,6,84.030031
-3.0,6,84.147929
6.457546,13,84.640983
8.633113,10,84.86579
-1.379585,6,85.086968
0.0,6,85.283456
2.231431,13,85.610894
3.561352,13,85.968021
0.551398,13,86.422084
4.243905,10,86.70029
9.0,11,86.983416
6.306432,11,87.3641
-2.382567,8,87.603013
6.176855,11,87.861587
-2.436558,6,88.020907
-2.370348,7,88.254712
1.220186,13,88.738181
-2.318366,6,88.947277
7.538963,11,89.343697
0.0,13,89.690029
3.0,13,90.147138
6.68121,11,90.460375
-3.384158,7,90.669048
-3.434136,7,90.82148
-2.0,6,91.063824
3.163817,13,91.509117
-2.370348,5,91.651431
6.540872,10,91.988766
7.193374,11,92.406751
5.615511,12,92.758339
-2.318366,6,92.924821
-3.289316,5,93.036076
1.683703,13,93.405693
5.523196,13,93.906891
5.0,13,94.293981
-2.0,10,94.770459
2.53665,13,95.08762
8.472889,12,95.446818
6.534029,13,95.913634
-3.438918,8,96.198829
-3.781736,9,96.423434
-0.373185,7,96.68557
0.0,13,97.031101
2.550133,13,97.394086
-1.809573,8,97.641928
-1.972698,8,97.908015
6.536725,13,98.104117
-4.0,8,98.279242
-2.318366,6,98.466259
1.0,13,98.951474
5.52471,13,99.564037
3.037616,13,100.063182
-2.0,4,100.204317
6.549861,13,100.608079
0.549795,13,101.117874
-1.0,5,101.292495
-2.318366,6,101.47303
8.473375,12,101.887354
-3.026073,5,102.097984
5.92649,11,102.498299
3.0,13,102.855809
-1.436972,6,103.00946
-1.372771,6,103.194851
0.550192,13,103.695658
7.298444,10,103.928509
4.914578,11,104.266855
8.618513,10,104.607039
-2.0,3,104.731565
2.0,13,105.174694
1.552541,13,105.506441
-5.0,1,105.597279
7.143236,13,105.909902
